"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership"
854752,0.25092610970672,283.34544422071,430,56.6999969482422,3.29586,"Chêne rouvre","Forêts privées et autres - En PSG"
827469,0.22721832021719,113.49941024749,804,30,1.73066,"Hêtre","Autres forêts publiques RF"
816997,0.205676632070161,13.2610362746439,851,116.800003051758,2.25337,"Autre fruitier","Autres forêts publiques RF"
828034,0.181791210317149,194.929116716115,246,62.9999961853027,1.19133,"Pin sylvestre","Forêts privées et autres - En PSG"
842681,0.286431165537057,211.400565172354,685,33.5999984741211,0.915279,"Pin sylvestre","Forêts privées et autres - En PSG"
818113,0.268062717597148,375.694678930675,456,15,4.8812,"Épicéa commun","Autres forêts publiques RF"
805733,0.241083523389248,240.065398910995,370,111,4.52824,"Douglas","Autres forêts publiques RF"
843227,0.240919275880027,194.093682082239,819,22.3999996185303,1.88031,"Pin sylvestre","Forêts domaniales RF"
878743,0.329796724981913,183.955573932078,399,42,0.462556,"Pin sylvestre","Autres forêts publiques RF"
807239,0.199989240578355,344.277396615539,353,45,4.81319,"Robinier faux-acacia","Forêts privées et autres - Hors PSG"
843618,0.317010939505895,258.349245268354,487,23.2000007629395,3.34988,"Hêtre","Autres forêts publiques RF"
