"idp","biomass","troph_r"
1416578,190.231695037298,1.36657
1427505,14.6336623835385,2.17236
1410469,170.91664803491,4.36247
1405619,295.46185473755,3.74709
1443800,83.6775868934327,2.30526
1412055,229.424652709649,4.38798
1448750,85.910433050457,1.61224
1450703,81.143261589654,1.41079
1413773,98.4866992241399,2.24303
1450830,155.290681289207,3.54947
1452217,205.799726751781,2.09557
1429015,293.228597741323,1.71973
1433922,170.067606120098,2.54069
1452445,329.895377926764,1.38947
1453740,288.055836546118,2.53823
1419826,285.193398633345,1.75462
1408729,200.606968001806,1.40857
1442092,139.916398908397,2.02167
1433669,155.906650182396,1.54542
1409986,16.4280079858674,5.19396
1429161,253.060002568111,2.46878
1417002,246.322741621952,2.1766
1406617,225.296550259578,2.03207
1430872,219.632914702067,1.62822
1435574,252.59544627876,2.30115
1422282,384.62678787793,4.93282
1408261,504.36661774822,3.39665
1417690,463.919530851448,2.28348
1439890,344.046782430835,2.03302
1428840,33.2711136245576,5.0788
1417959,289.507022211322,2.17803
1439806,430.369756337671,5.0506
1440279,93.5832219924149,1.99326
1444316,210.806935400306,2.04906
1400047,338.358713364143,1.53683
1430253,79.575343910874,1.31475
1421846,17.1992713890973,1.40048
1407615,113.845234318525,3.76104
1421515,101.800118463877,2.76393
1415090,95.8626951157336,1.80055
1425166,72.3691586106055,3.62023
1419799,214.520985765794,3.29785
1401364,16.5407488217308,1.56221
1452941,180.296738254469,3.44579
1441905,345.7258581524,2.40303
1416992,203.389355899198,2.99082
1403774,163.698288872052,4.80727
1410331,325.205061337883,5.46815
1445523,40.2563162662302,1.55684
1438612,234.635550747818,1.15176
1449355,264.808221974295,1.93123
1447447,264.632662925763,2.485
1433705,323.009430132852,1.57243
1409834,40.7665893783019,3.80673
1417510,389.989910636565,4.92547
1420210,104.170775583065,2.70472
1450172,492.651603338775,3.57424
1421796,158.238929071325,4.48731
1429970,347.585138065435,3.93111
1440002,234.269131735774,2.47718
1533736,87.177633182419,2.9872115
1512562,386.236858887536,2.2179618
1503071,310.86820527272,2.5586119
1536859,46.9907191380532,1.0261633
1550274,9.39923241258369,5.8931246
1538302,199.374102628579,3.364922
1523954,380.536959150371,2.6156147
1531019,147.821156907661,2.9148285
1553414,246.392847296621,2.7897196
1528968,64.9632700448675,1.5504626
1532732,333.127100357124,1.5098381
1537436,51.1807426310407,1.7070796
1542012,196.688898584165,2.3778868
1548418,166.111684888158,1.9919152
1509750,247.643752586695,2.4351785
1514466,353.632713035251,2.3253105
1517347,32.9372130724044,1.3962638
1531145,295.279176824585,1.2211629
1516986,308.661950997877,3.1293104
1505441,242.254017638219,1.0986619
1515573,304.447776098843,0.9863135
1538068,172.670242521761,1.8652848
1519094,182.699828215237,3.805385
1537814,258.766790849041,1.1986142
1548355,278.142242314544,1.054416
1531550,42.4089351824676,3.283561
1500522,222.442596370679,1.5983093
1521205,148.239234191292,1.7134308
1550605,80.0615650624201,0.78176945
1515058,73.5273283050205,3.9401805
1542537,292.65079073151,2.306761
1548784,104.46473551196,1.1408415
1527442,180.539503649517,2.6260984
1509541,285.482565003346,1.4916037
1519320,207.086604874166,0.93834597
1505999,289.007860390057,2.2404509
1507392,106.831286688017,1.6725713
1537593,350.690438445105,2.9979455
1531703,84.0426250780957,1.5351566
1535879,2.15701444851093,2.4851599
1541039,310.637263654021,2.2042625
1532650,192.292470455331,2.3892379
1553374,180.570860423057,7.4769897
1553666,402.971462906924,2.5036805
1500503,91.6209518344397,1.7453748
1510162,74.2182957491367,0.81161755
1500261,106.197020711303,1.9752934
1511022,311.033641806051,2.640011
1549122,347.683648073689,1.9615184
1513897,376.936505152943,3.2444265
1510745,162.206901878717,2.0448012
1504785,58.937816467244,4.3992434
1501939,230.017609704234,1.5520401
1506574,189.89720373145,1.1500603
1507775,494.034848375132,2.9630206
1524939,207.778028435644,1.1473362
1540293,270.392502683087,5.596206
