"idp","rich","ser_86","pro_psg","elev","tcar","esspre_fr"
1016715,16,"B91","publics - domaniales",181,4,"F"
1017944,38,"B92","privé - sans psg",349,2,"F"
1011292,25,"C20","privé - psg",377,9,"F"
1024840,12,"C20","privé - psg",448,10,"F"
1014564,26,"F14","privé - sans psg",69,10,"F"
1029886,33,"E10","publis - communales",483,10,"F"
1014478,14,"G23","privé - psg",465,10,"F"
1028189,34,"G12","publics - domaniales",353,8,"F"
1026787,70,"J22","privé - sans psg",109,7,"F"
1002205,17,"B10","publics - domaniales",65,9,"F"
1018786,37,"G22","privé - sans psg",751,9,"F"
1026295,23,"B92","privé - psg",231,10,"R"
1012006,19,"B92","privé - sans psg",313,9,"F"
1020518,21,"C20","publics - domaniales",197,6,"F"
1016610,21,"A13","privé - psg",128,10,"F"
1003512,16,"C20","publis - communales",286,9,"F"
1023254,25,"G41","privé - psg",921,3,"F"
1027801,17,"G90","privé - sans psg",650,10,"F"
1014257,8,"H30","privé - sans psg",945,10,"F"
1023130,32,"C20","privé - psg",399,8,"R"
1020252,28,"F40","privé - sans psg",190,9,"F"
1026232,31,"E10","publis - communales",488,9,"R"
1019649,27,"F12","publics - domaniales",89,9,"F"
1024408,18,"B61","privé - sans psg",50,8,"R"
1022918,14,"A11","privé - sans psg",214,5,"F"
1011853,53,"G22","privé - sans psg",1104,8,"R"
1008198,14,"B81","privé - sans psg",78,7,"F"
1021467,26,"G11","privé - sans psg",116,10,"F"
1007756,19,"F15","privé - sans psg",160,10,"F"
1003757,23,"C41","publis - communales",214,9,"F"
1016572,51,"G12","privé - sans psg",381,8,"F"
1017613,46,"G22","privé - psg",789,10,"F"
1024483,19,"F14","privé - sans psg",22,10,"F"
1020691,37,"B51","publics - domaniales",157,7,"F"
1009152,15,"B44","privé - sans psg",134,9,"F"
1010533,30,"B51","publis - communales",161,0,"F"
1027301,22,"D12","publis - communales",604,4,"F"
1000809,57,"H42","publis - communales",1261,8,"R"
1018639,19,"G22","privé - sans psg",1117,8,"R"
1014048,22,"I11","privé - psg",461,10,"F"
1029821,14,"J21","privé - sans psg",495,9,"F"
1024493,17,"C30","publis - communales",279,9,"F"
1007280,15,"B52","privé - psg",212,10,"F"
1007950,25,"F30","privé - sans psg",242,9,"R"
1003472,10,"B33","privé - psg",280,9,"F"
1022586,23,"H30","privé - sans psg",1046,10,"F"
1023625,17,"G11","privé - sans psg",205,8,"R"
1023228,30,"C51","publis - communales",211,4,"F"
1015697,34,"F30","privé - sans psg",144,9,"F"
1007051,49,"G11","privé - sans psg",391,8,"F"
1004022,23,"C51","privé - sans psg",195,10,"F"
1004762,16,"G80","publics - domaniales",765,10,"R"
1012818,19,"G22","privé - sans psg",1090,10,"F"
1021618,9,"D11","publics - domaniales",591,7,"F"
1023265,13,"F52","privé - sans psg",52,6,"F"
1017511,5,"F21","privé - psg",77,4,"R"
